Kunden_ID;Branche;Monat;Verbrauch_kWh;Tarif_Cent_kWh;Netz_und_Einkauf_Cent_kWh;Kundenzufriedenheit_Score
491711;Bäckerei;Februar;7996.0;40.35;25.45;4
655833;Logistik;März;69199.0;27.48;32.86;4
953796;Logistik;März;38570.0;38.46;37.53;3
673723;Hotel;Februar;28627.0;30.23;24.86;9
128178;Metallverarbeitung;März;38434.0;36.5;24.78;10
304893;Logistik;Februar;40535.0;27.05;23.25;4
997101;Metallverarbeitung;Februar;71879.0;44.51;25.76;6
421942;Hotel;Januar_FEHLER;24318.0;28.63;23.75;1
303671;Hotel;Januar_FEHLER;11372.0;31.52;37.52;4
397566;Bäckerei;Februar;54357.0;32.39;22.66;10
799128;Supermarkt;März;79308.0;35.51;35.31;2
645163;Bäckerei;Januar_FEHLER;11762.0;44.29;36.98;3
965948;Logistik;Januar_FEHLER;65341.0;27.32;27.29;7
508650;Metallverarbeitung;Februar;57728.0;42.12;28.28;4
719736;Hotel;Februar;77223.0;34.65;37.1;1
435241;Bäckerei;März;8891.0;31.62;33.96;7
646831;Hotel;Februar;25732.0;27.68;23.21;8
316594;Logistik;Februar;84033.0;40.98;33.11;2
799856;Hotel;Februar;38019.0;37.49;24.89;9
313622;Bäckerei;Februar;12877.0;42.5;32.46;3
939000;Logistik;Februar;;28.33;23.6;5
392235;Metallverarbeitung;Februar;30130.0;44.58;34.58;5
167217;Bäckerei;März;69547.0;42.92;27.17;10
191566;Metallverarbeitung;März;4662.0;31.32;36.08;8
297767;Metallverarbeitung;März;35817.0;26.93;35.45;10
385387;Logistik;Januar_FEHLER;7372.0;37.87;33.59;3
649660;Supermarkt;Januar_FEHLER;25819.0;34.84;36.92;5
294004;Supermarkt;Februar;49322.0;36.71;28.49;3
938394;Supermarkt;Februar;14088.0;34.02;25.38;8
574976;Logistik;März;34544.0;32.12;35.99;2
247500;Logistik;Februar;57850.0;41.72;31.84;9
790821;Hotel;Januar_FEHLER;37887.0;44.17;25.86;10
970404;Bäckerei;Februar;33329.0;38.69;24.22;6
487143;Supermarkt;März;30460.0;33.08;27.75;1
992248;Logistik;März;43672.0;41.82;24.1;4
138744;Metallverarbeitung;Februar;73126.0;32.15;27.87;3
830930;Hotel;Januar_FEHLER;39597.0;26.67;31.62;1
371724;Bäckerei;Februar;35246.0;26.33;30.0;10
435030;Supermarkt;Februar;49186.0;43.18;28.48;2
733122;Logistik;März;26074.0;31.13;28.89;3
575496;Logistik;Januar_FEHLER;47179.0;35.71;37.45;4
410031;Supermarkt;Januar_FEHLER;46551.0;33.16;33.55;6
607341;Hotel;Februar;6487.0;28.89;34.14;10
151855;Logistik;März;24939.0;30.61;29.32;5
938653;Metallverarbeitung;Januar_FEHLER;58384.0;44.13;37.39;1
831270;Supermarkt;März;4823.0;42.94;36.27;9
953238;Bäckerei;März;43614.0;36.1;25.8;7
905461;Bäckerei;Januar_FEHLER;59701.0;27.22;32.61;1
360842;Supermarkt;März;41994.0;32.3;29.32;8
291126;Bäckerei;Januar_FEHLER;27137.0;33.91;27.97;8
224427;Logistik;Februar;27068.0;33.23;28.92;5
532752;Metallverarbeitung;Januar_FEHLER;35846.0;30.18;35.18;10
448940;Supermarkt;Februar;26476.0;31.52;22.16;9
825472;Bäckerei;Januar_FEHLER;37481.0;36.94;30.52;1
419550;Bäckerei;Januar_FEHLER;43302.0;32.39;26.71;8
429206;Supermarkt;Februar;66551.0;41.45;32.61;5
311129;Supermarkt;März;36484.0;39.22;25.15;2
124561;Supermarkt;Februar;14451.0;26.18;28.57;2
937996;Supermarkt;Januar_FEHLER;12481.0;39.12;30.57;9
345992;Hotel;Januar_FEHLER;42393.0;43.98;34.72;6
758986;Logistik;Februar;50616.0;29.9;31.97;8
512397;Supermarkt;Januar_FEHLER;41049.0;41.44;29.29;2
974809;Supermarkt;März;29079.0;27.59;29.87;5
924043;Supermarkt;März;47732.0;30.79;36.83;6
152018;Supermarkt;März;59069.0;38.99;25.98;1
676045;Bäckerei;Februar;74089.0;27.32;33.61;8
982600;Supermarkt;März;57005.0;29.23;25.46;2
587385;Supermarkt;März;23562.0;41.51;33.2;6
999785;Bäckerei;März;53986.0;27.29;26.12;6
117298;Supermarkt;Februar;33259.0;41.37;32.99;2
180407;Metallverarbeitung;Februar;60370.0;43.41;32.85;4
199843;Logistik;Januar_FEHLER;31643.0;27.38;24.55;9
971197;Metallverarbeitung;März;35182.0;35.48;23.31;3
271792;Bäckerei;Januar_FEHLER;70055.0;32.75;27.74;5
852980;Logistik;Januar_FEHLER;58333.0;35.36;37.32;6
756722;Metallverarbeitung;März;18566.0;42.22;33.16;10
326928;Logistik;März;60074.0;44.68;34.01;9
738478;Logistik;Februar;62135.0;31.22;35.08;4
570067;Supermarkt;März;45447.0;28.68;25.82;5
805615;Bäckerei;Januar_FEHLER;53088.0;36.74;26.83;8
811923;Bäckerei;Februar;55002.0;34.67;32.25;3
309681;Supermarkt;Januar_FEHLER;20398.0;33.62;32.12;4
325970;Metallverarbeitung;Februar;49252.0;34.66;36.41;9
182841;Metallverarbeitung;Februar;66318.0;40.96;23.03;10
171022;Logistik;Februar;75198.0;39.3;33.27;5
730704;Supermarkt;März;40402.0;33.94;35.09;2
768906;Hotel;Januar_FEHLER;79807.0;43.31;31.46;7
139697;Metallverarbeitung;Februar;56281.0;39.15;29.97;2
652352;Logistik;März;20175.0;32.86;24.92;6
238985;Hotel;Februar;34832.0;43.17;23.76;6
622704;Bäckerei;März;18973.0;31.22;25.36;9
344777;Logistik;März;22635.0;38.42;36.82;9
655098;Metallverarbeitung;Februar;29440.0;40.99;25.95;3
817068;Hotel;Januar_FEHLER;4446.0;40.77;28.73;6
650386;Metallverarbeitung;Januar_FEHLER;22075.0;43.78;27.08;10
223166;Supermarkt;Januar_FEHLER;11096.0;33.8;33.58;7
140145;Supermarkt;März;35162.0;34.56;33.97;3
567345;Supermarkt;Februar;47669.0;31.14;23.16;5
731804;Logistik;Februar;18904.0;41.62;23.3;9
267056;Bäckerei;Januar_FEHLER;37822.0;44.96;27.13;1
278304;Bäckerei;Februar;4891.0;33.13;24.54;8
874815;Hotel;März;41942.0;30.36;29.19;9
137065;Bäckerei;Februar;51226.0;43.75;25.89;2
912992;Bäckerei;März;33106.0;33.55;28.09;4
486804;Bäckerei;März;;27.76;30.28;6
358428;Hotel;Februar;58204.0;37.46;37.88;7
139334;Supermarkt;Februar;35311.0;42.03;30.69;8
659870;Metallverarbeitung;Januar_FEHLER;28156.0;37.85;30.48;7
460982;Logistik;Februar;56455.0;26.12;37.11;10
824576;Bäckerei;Januar_FEHLER;61118.0;38.05;26.67;3
669154;Logistik;Januar_FEHLER;78144.0;29.03;23.94;8
221923;Metallverarbeitung;Februar;81346.0;31.73;34.9;2
981086;Supermarkt;Februar;45573.0;44.47;31.1;9
549631;Metallverarbeitung;März;5335.0;27.84;35.25;8
432131;Hotel;Januar_FEHLER;78068.0;28.19;30.24;1
248562;Hotel;Februar;29790.0;42.78;30.33;2
200414;Metallverarbeitung;Februar;30074.0;38.45;33.77;4
415126;Bäckerei;Februar;55921.0;28.05;37.02;6
937197;Metallverarbeitung;Februar;19445.0;38.23;28.75;3
280730;Hotel;Januar_FEHLER;54691.0;28.85;23.15;4
572427;Logistik;Februar;71250.0;26.05;25.86;3
355024;Bäckerei;Januar_FEHLER;10228.0;31.62;23.49;3
257045;Metallverarbeitung;Januar_FEHLER;79782.0;43.71;37.16;10
564861;Bäckerei;Februar;4782.0;32.39;34.56;10
384397;Hotel;Februar;40076.0;33.83;22.58;7
854123;Hotel;Februar;54251.0;36.24;35.77;1
228627;Hotel;Januar_FEHLER;47553.0;40.77;37.71;10
529477;Metallverarbeitung;März;70458.0;35.83;25.66;5
931243;Bäckerei;März;13547.0;30.66;26.91;1
776757;Bäckerei;März;12155.0;39.04;33.61;4
622145;Supermarkt;Januar_FEHLER;15541.0;38.37;26.33;3
192767;Bäckerei;Februar;26885.0;35.89;23.64;10
570699;Hotel;Januar_FEHLER;19754.0;38.33;26.52;7
149112;Logistik;Januar_FEHLER;80139.0;29.65;31.74;10
455040;Hotel;März;;37.15;24.65;4
847237;Hotel;Januar_FEHLER;60757.0;29.92;24.02;1
967401;Supermarkt;Februar;54343.0;31.51;26.06;2
529413;Bäckerei;Februar;84690.0;28.66;35.38;10
853067;Supermarkt;Februar;39675.0;43.4;28.34;10
914827;Logistik;März;10000.0;32.94;34.61;4
597223;Hotel;Januar_FEHLER;11117.0;35.09;34.76;6
516392;Metallverarbeitung;Februar;20652.0;41.28;32.55;10
462824;Logistik;Februar;5555.0;41.18;31.26;6
510012;Logistik;März;45180.0;31.94;30.14;6
498189;Hotel;Februar;56458.0;40.33;30.76;1
402622;Hotel;Januar_FEHLER;68056.0;29.87;25.85;1
969337;Hotel;März;82821.0;29.34;32.43;8
570681;Hotel;Januar_FEHLER;;31.84;36.71;5
827246;Supermarkt;März;24456.0;42.43;29.21;2
427121;Logistik;Februar;16358.0;31.41;29.66;10
646005;Metallverarbeitung;März;19087.0;31.18;22.6;5
644702;Metallverarbeitung;Januar_FEHLER;60668.0;28.7;29.13;9
645805;Bäckerei;März;63965.0;40.89;24.53;6
677193;Logistik;Februar;47182.0;30.89;32.5;8
160321;Metallverarbeitung;März;47856.0;42.38;29.27;5
250020;Bäckerei;Februar;45828.0;43.39;32.09;9
893303;Logistik;Januar_FEHLER;23187.0;29.77;30.94;5
814078;Supermarkt;Januar_FEHLER;39075.0;34.26;30.7;8
827580;Bäckerei;Januar_FEHLER;19645.0;41.95;27.88;10
665799;Hotel;März;49483.0;27.02;34.27;10
759803;Hotel;Januar_FEHLER;80015.0;36.75;30.17;5
284423;Logistik;März;69011.0;33.42;32.96;4
924073;Metallverarbeitung;Januar_FEHLER;18840.0;30.17;31.58;8
990119;Supermarkt;Februar;65636.0;30.05;25.7;6
464694;Hotel;Februar;67865.0;31.24;33.87;2
855744;Supermarkt;Februar;74378.0;30.43;35.04;2
660899;Logistik;März;;31.19;36.41;4
183124;Hotel;März;83469.0;30.75;23.28;3
335204;Bäckerei;März;65574.0;33.95;23.64;2
237374;Metallverarbeitung;Januar_FEHLER;46638.0;32.04;30.49;3
916582;Bäckerei;Februar;13299.0;37.43;25.26;1
412302;Hotel;Januar_FEHLER;47331.0;31.46;37.78;10
321044;Bäckerei;März;19319.0;42.09;23.18;5
352234;Bäckerei;März;37516.0;39.05;30.72;6
577321;Metallverarbeitung;März;7829.0;44.08;29.25;7
266146;Metallverarbeitung;März;76603.0;33.68;34.85;2
783969;Hotel;Februar;20769.0;27.85;25.61;4
212122;Bäckerei;März;21780.0;41.14;30.1;4
945809;Supermarkt;Januar_FEHLER;35520.0;36.57;29.08;3
680582;Hotel;Februar;20739.0;29.69;28.73;6
325907;Supermarkt;Januar_FEHLER;20553.0;42.89;35.22;7
111754;Metallverarbeitung;Januar_FEHLER;6050.0;39.55;37.54;7
289069;Logistik;Januar_FEHLER;80221.0;30.65;34.47;8
193643;Hotel;Februar;53419.0;27.88;26.26;8
432212;Supermarkt;März;19038.0;36.5;31.02;9
989477;Logistik;Januar_FEHLER;8817.0;31.25;36.3;4
839549;Supermarkt;März;68204.0;40.39;26.28;1
843407;Supermarkt;Januar_FEHLER;22533.0;41.56;36.7;8
631376;Logistik;Januar_FEHLER;54574.0;35.63;31.73;7
374366;Supermarkt;März;13388.0;31.63;32.23;1
904650;Logistik;Februar;67770.0;32.34;29.54;3
588098;Metallverarbeitung;März;83137.0;38.78;26.02;2
474952;Metallverarbeitung;Januar_FEHLER;11140.0;34.44;33.58;4
374478;Bäckerei;Februar;20689.0;28.33;28.58;9
392768;Hotel;März;6067.0;38.34;22.9;5
527511;Hotel;Februar;59330.0;29.35;36.68;5
825342;Supermarkt;März;34968.0;41.24;26.06;6
201462;Logistik;Januar_FEHLER;76672.0;43.98;22.48;1
813914;Logistik;März;50674.0;39.46;33.99;2
767000;Hotel;März;52837.0;40.77;35.13;2
598477;Metallverarbeitung;Februar;23359.0;35.51;27.99;9
147122;Metallverarbeitung;Februar;5340.0;33.71;24.03;6
232530;Metallverarbeitung;Februar;79474.0;41.38;23.37;2
218256;Metallverarbeitung;Januar_FEHLER;78992.0;42.25;22.93;6
138444;Metallverarbeitung;Februar;80614.0;27.03;36.24;4
701473;Metallverarbeitung;Februar;21046.0;37.36;36.03;5
245727;Metallverarbeitung;Januar_FEHLER;43848.0;30.53;37.62;1
657931;Metallverarbeitung;März;28246.0;30.68;28.0;3
692589;Metallverarbeitung;März;71711.0;32.61;30.79;3
263346;Bäckerei;Januar_FEHLER;20002.0;27.4;28.59;2
997619;Supermarkt;Februar;59345.0;44.88;23.93;3
570693;Supermarkt;März;52809.0;41.33;23.23;7
972903;Hotel;Februar;80916.0;29.23;29.46;3
512120;Supermarkt;Januar_FEHLER;62352.0;35.14;22.8;8
166663;Bäckerei;März;78316.0;28.66;30.96;7
321239;Logistik;März;52265.0;40.39;29.12;3
282150;Metallverarbeitung;März;45995.0;28.85;37.0;9
647849;Hotel;Januar_FEHLER;37040.0;32.34;35.63;3
753312;Metallverarbeitung;März;38514.0;31.82;37.4;2
307404;Metallverarbeitung;Januar_FEHLER;47424.0;32.63;31.86;1
901092;Metallverarbeitung;Februar;45159.0;31.77;27.09;5
351150;Supermarkt;Januar_FEHLER;83577.0;38.48;23.36;4
712845;Hotel;März;19066.0;29.84;27.9;4
908324;Metallverarbeitung;Februar;70878.0;31.5;34.25;8
797222;Bäckerei;Januar_FEHLER;8959.0;30.91;27.65;5
180938;Supermarkt;Januar_FEHLER;68392.0;28.87;23.48;6
334697;Hotel;Februar;75391.0;30.68;32.23;2
185548;Bäckerei;März;55426.0;44.21;35.72;3
325648;Metallverarbeitung;Januar_FEHLER;81447.0;31.09;25.34;10
894363;Hotel;Januar_FEHLER;;44.68;33.94;4
761476;Metallverarbeitung;Februar;78733.0;39.43;36.76;10
102854;Hotel;März;14380.0;32.84;26.86;6
540724;Hotel;März;70008.0;27.24;34.76;9
810537;Bäckerei;Februar;26994.0;43.95;23.55;5
456904;Supermarkt;Februar;65709.0;42.58;22.83;1
325936;Bäckerei;Januar_FEHLER;78193.0;28.67;27.2;2
122859;Hotel;Januar_FEHLER;74108.0;31.36;31.03;8
349255;Hotel;Februar;25220.0;34.33;26.15;4
976858;Bäckerei;Januar_FEHLER;82428.0;35.33;33.11;6
161649;Logistik;Februar;78790.0;34.71;35.86;8
818375;Supermarkt;Februar;50666.0;34.41;23.16;4
364753;Hotel;März;81969.0;26.48;23.75;3
468609;Hotel;Februar;18544.0;29.37;31.0;3
748398;Logistik;Februar;84840.0;42.72;31.53;8
815114;Logistik;März;64792.0;30.65;33.13;5
659951;Metallverarbeitung;Januar_FEHLER;12809.0;39.03;36.38;2
545973;Hotel;Januar_FEHLER;28474.0;34.28;35.78;2
583781;Metallverarbeitung;März;77644.0;34.28;35.76;2
546896;Bäckerei;Februar;29498.0;30.45;35.02;4
643546;Logistik;Januar_FEHLER;65481.0;41.41;37.88;10
402477;Logistik;Januar_FEHLER;51555.0;41.1;31.38;9
850952;Supermarkt;Februar;24407.0;32.33;27.46;4
637091;Supermarkt;Januar_FEHLER;77332.0;28.37;31.14;5
584556;Bäckerei;März;32006.0;44.3;34.45;10
617591;Bäckerei;Februar;20468.0;41.88;32.45;10
682557;Metallverarbeitung;Februar;28013.0;33.6;23.22;7
247909;Bäckerei;Januar_FEHLER;4108.0;29.74;31.71;2
335186;Supermarkt;Januar_FEHLER;25300.0;29.46;23.45;4
396499;Bäckerei;Februar;34271.0;32.34;28.72;5
161076;Logistik;Februar;7889.0;28.82;29.53;3
822949;Logistik;Februar;78357.0;30.55;29.69;2
826263;Hotel;Februar;16783.0;30.17;26.68;10
825181;Supermarkt;März;8997.0;38.47;27.04;1
171912;Hotel;Februar;72361.0;28.82;23.45;6
177822;Hotel;März;37100.0;32.48;32.16;10
291178;Hotel;Januar_FEHLER;56019.0;41.93;34.98;4
887076;Logistik;Februar;59545.0;33.73;26.62;7
891446;Logistik;Januar_FEHLER;61281.0;31.64;32.17;9
676275;Logistik;März;18460.0;43.49;27.86;6
549109;Hotel;Februar;32601.0;37.24;33.88;8
733545;Hotel;Februar;10353.0;35.63;29.61;1
566211;Hotel;Januar_FEHLER;34332.0;34.92;29.44;6
139544;Logistik;März;81327.0;30.91;25.47;8
662443;Supermarkt;März;49758.0;29.88;28.38;5
663753;Metallverarbeitung;März;44132.0;29.62;31.48;10
600022;Logistik;März;53750.0;31.68;35.78;10
285363;Metallverarbeitung;Februar;49481.0;28.7;25.48;1
763849;Metallverarbeitung;Januar_FEHLER;20936.0;35.6;33.01;7
713329;Hotel;Januar_FEHLER;22724.0;42.77;35.54;4
745821;Hotel;März;13584.0;27.06;31.98;8
143402;Hotel;Januar_FEHLER;10887.0;32.98;32.52;4
230084;Bäckerei;März;16349.0;43.31;37.25;8
515232;Logistik;Februar;59334.0;40.24;29.82;3
340891;Logistik;Januar_FEHLER;39994.0;35.56;33.43;6
557886;Metallverarbeitung;Januar_FEHLER;77346.0;32.03;34.25;3
858590;Supermarkt;Februar;20566.0;30.47;32.82;8
145344;Logistik;Februar;57826.0;36.1;25.76;4
683146;Bäckerei;Februar;58654.0;31.19;25.51;10
877832;Supermarkt;März;81370.0;35.81;33.5;10
755313;Logistik;Januar_FEHLER;31313.0;26.94;36.62;8
700060;Metallverarbeitung;Januar_FEHLER;30993.0;39.92;27.15;9
182189;Metallverarbeitung;Januar_FEHLER;20605.0;43.67;27.58;2
296547;Bäckerei;März;64799.0;32.89;30.29;9
147350;Hotel;Februar;23073.0;26.28;31.25;10
659996;Bäckerei;Februar;10307.0;36.36;25.74;1
125503;Metallverarbeitung;Februar;56843.0;33.1;30.62;1
998336;Metallverarbeitung;Januar_FEHLER;67493.0;44.2;35.55;5
300416;Metallverarbeitung;Januar_FEHLER;16766.0;39.46;29.09;6
536134;Bäckerei;Februar;78699.0;36.49;25.15;8
319301;Hotel;Januar_FEHLER;7217.0;30.8;34.48;2
698223;Bäckerei;Januar_FEHLER;52050.0;33.35;33.94;1
358235;Metallverarbeitung;Februar;31749.0;33.0;37.25;2
867335;Logistik;März;60126.0;40.33;32.0;3
857268;Logistik;Januar_FEHLER;32063.0;36.82;36.07;9
459327;Metallverarbeitung;Januar_FEHLER;9498.0;34.16;34.58;10
774905;Logistik;März;80775.0;34.38;28.42;10
953628;Metallverarbeitung;März;;35.6;24.71;9
566272;Metallverarbeitung;Februar;65752.0;34.6;24.13;8
761785;Supermarkt;März;58240.0;26.37;25.09;3
975506;Metallverarbeitung;Februar;84653.0;39.32;36.04;8
622498;Hotel;März;;31.0;25.97;8
224945;Supermarkt;März;53076.0;35.24;31.38;3
341467;Bäckerei;Januar_FEHLER;32237.0;44.07;24.94;10
334431;Logistik;März;49619.0;29.02;37.94;10
955126;Metallverarbeitung;Februar;40219.0;37.07;28.78;4
239805;Supermarkt;Februar;39250.0;40.36;28.21;4
144138;Metallverarbeitung;Februar;41368.0;34.03;24.53;9
269671;Bäckerei;Januar_FEHLER;56641.0;42.16;33.0;4
932860;Bäckerei;Januar_FEHLER;28529.0;33.11;27.27;4
322483;Metallverarbeitung;März;26049.0;39.63;34.26;6
861337;Metallverarbeitung;März;;38.91;24.18;10
963872;Bäckerei;März;80439.0;29.37;22.6;7
403495;Bäckerei;März;6365.0;31.27;23.09;5
640923;Bäckerei;Januar_FEHLER;23126.0;37.79;37.76;3
877693;Bäckerei;Februar;12986.0;34.54;33.58;10
559690;Hotel;März;83324.0;32.4;29.32;5
295159;Supermarkt;März;57601.0;28.24;29.83;5
418265;Hotel;März;61205.0;35.96;22.29;1
550298;Hotel;Januar_FEHLER;55656.0;42.25;30.58;6
153250;Hotel;Februar;82380.0;35.76;25.62;5
604482;Bäckerei;Februar;20449.0;30.54;35.37;7
627820;Metallverarbeitung;März;80752.0;28.97;23.46;7
356650;Hotel;Februar;27592.0;38.69;29.09;3
342767;Logistik;Januar_FEHLER;37850.0;30.13;25.03;8
205376;Bäckerei;Februar;69777.0;38.89;33.44;4
897509;Bäckerei;März;52037.0;35.49;33.71;10
311704;Metallverarbeitung;Februar;24883.0;38.45;34.37;1
749435;Bäckerei;Februar;4540.0;28.1;32.73;8
132261;Bäckerei;März;57504.0;40.22;36.88;10
985625;Bäckerei;Februar;74288.0;37.59;24.49;8
468703;Supermarkt;Februar;11267.0;33.06;36.24;1
850419;Logistik;Februar;;36.89;36.18;3
464363;Hotel;März;47356.0;41.4;35.54;6
275786;Logistik;März;24069.0;26.64;31.41;10
431641;Metallverarbeitung;Januar_FEHLER;52836.0;36.89;24.46;8
291910;Logistik;Februar;49856.0;27.27;34.74;6
742233;Supermarkt;Januar_FEHLER;52712.0;35.32;32.75;5
844583;Hotel;Februar;82407.0;40.28;27.83;6
179832;Supermarkt;Februar;82310.0;28.09;33.82;4
263552;Hotel;März;44264.0;42.38;29.72;9
708105;Bäckerei;März;23218.0;43.06;27.02;6
439494;Bäckerei;Februar;54795.0;27.16;24.03;7
636430;Bäckerei;März;21760.0;35.56;33.41;10
174288;Metallverarbeitung;Januar_FEHLER;6965.0;32.14;36.96;8
622225;Bäckerei;Februar;69931.0;31.06;27.33;10
343355;Hotel;Januar_FEHLER;21991.0;39.17;29.27;4
355341;Metallverarbeitung;Januar_FEHLER;60527.0;42.64;33.09;6
613713;Metallverarbeitung;Januar_FEHLER;29984.0;31.54;35.2;7
162938;Supermarkt;Januar_FEHLER;82552.0;26.95;23.52;2
685993;Supermarkt;März;46994.0;28.02;37.82;8
407483;Supermarkt;März;4668.0;43.47;33.94;5
364500;Metallverarbeitung;Januar_FEHLER;57615.0;41.72;36.27;8
188410;Supermarkt;Februar;67234.0;39.45;23.66;8
119257;Bäckerei;Februar;47437.0;37.42;28.7;1
183888;Hotel;März;32825.0;31.71;33.17;3
939793;Metallverarbeitung;Februar;17852.0;28.42;25.71;1
658442;Hotel;Januar_FEHLER;73956.0;43.04;33.17;9
961207;Hotel;März;;30.16;27.57;10
256307;Bäckerei;März;56580.0;42.66;25.82;3
774352;Hotel;Februar;47852.0;30.71;34.42;4
360833;Supermarkt;März;84083.0;44.74;35.58;2
791532;Logistik;März;23820.0;42.94;32.59;4
993515;Bäckerei;Januar_FEHLER;32357.0;33.39;27.64;7
794877;Bäckerei;März;67359.0;30.95;32.37;9
814014;Metallverarbeitung;Februar;55971.0;28.01;27.27;8
966079;Logistik;Februar;19648.0;35.37;37.03;7
215868;Metallverarbeitung;Februar;24935.0;34.68;23.22;7
359173;Metallverarbeitung;März;21068.0;41.33;24.59;7
793199;Supermarkt;Februar;;40.59;22.55;6
815988;Supermarkt;Februar;54814.0;37.22;23.54;8
328052;Logistik;Februar;43016.0;38.53;33.4;4
870275;Hotel;Januar_FEHLER;13373.0;37.44;31.19;5
784718;Metallverarbeitung;März;59609.0;36.08;36.92;3
499278;Hotel;Februar;5426.0;36.02;30.3;9
871373;Metallverarbeitung;Januar_FEHLER;60232.0;33.3;23.58;4
868148;Logistik;März;41598.0;33.95;32.98;6
733265;Supermarkt;Februar;13854.0;44.35;31.12;8
196898;Supermarkt;Februar;69823.0;42.85;23.78;9
773249;Hotel;Februar;35746.0;29.14;22.42;1
957953;Metallverarbeitung;Februar;70981.0;41.13;31.83;7
897922;Metallverarbeitung;Januar_FEHLER;54438.0;30.75;36.92;7
558508;Logistik;Januar_FEHLER;37579.0;37.37;37.68;7
306828;Supermarkt;Februar;50139.0;28.6;25.67;4
278514;Logistik;Januar_FEHLER;65077.0;29.03;29.08;4
971918;Logistik;Februar;27229.0;43.15;34.32;5
617325;Hotel;Januar_FEHLER;81623.0;31.23;25.31;2
356066;Metallverarbeitung;Januar_FEHLER;21571.0;31.22;32.77;2
836805;Hotel;März;70480.0;30.95;32.04;6
739647;Supermarkt;Februar;72266.0;41.23;27.28;10
818136;Bäckerei;Februar;42490.0;41.73;32.32;5
609137;Supermarkt;Januar_FEHLER;55959.0;39.71;28.19;2
688119;Hotel;März;51503.0;35.35;23.05;5
354417;Hotel;Januar_FEHLER;55322.0;40.8;34.68;4
597719;Metallverarbeitung;Februar;;38.51;30.64;9
261633;Metallverarbeitung;Februar;62728.0;40.33;36.65;4
375018;Supermarkt;Januar_FEHLER;;30.99;26.94;5
189848;Metallverarbeitung;März;60477.0;34.39;36.3;5
600560;Metallverarbeitung;Februar;25919.0;27.11;25.35;6
192198;Metallverarbeitung;Januar_FEHLER;79837.0;30.79;27.58;6
433239;Logistik;Januar_FEHLER;40975.0;40.52;37.4;4
539345;Hotel;März;20319.0;42.53;22.25;4
972410;Bäckerei;März;;32.51;28.52;3
111906;Logistik;Februar;36309.0;28.45;29.7;6
763366;Metallverarbeitung;Februar;43711.0;29.63;24.7;1
123265;Metallverarbeitung;Januar_FEHLER;;35.69;33.21;2
694821;Bäckerei;Februar;83001.0;31.3;33.88;10
138856;Supermarkt;März;56912.0;31.11;23.5;7
565437;Supermarkt;Januar_FEHLER;33808.0;34.69;33.85;2
